source,canonical_id,original_id,min_max_label,percentile_label,threshold_label,average_score,number_atoms,score_std
gnn_exp4,box1400,sdf_2-piezo-graph-5A/unlabeled/box1400-filtered_combined_matrix.npy,PseudoPositive,StrongPositive,Positive,0.8951729679107666,47,0.0823597460976836
gnn_exp5,box1400,sdf_2-piezo-graph-5A/unlabeled/box1400-filtered_combined_matrix.npy,StrongPositive,StrongPositive,Positive,0.949112994670868,47,0.0397179412144639
gcn_exp1,box1401,sdf_2-piezo-sdf_2-graphs-5A/unlabeled/box1401-filtered_graphs.npy,PseudoPositive,PseudoPositive,Positive,0.8503049862384796,59,0.1453595328305854
gcn_exp4,box1401,sdf_2-piezo-sdf_2-graphs-5A/unlabeled/box1401-filtered_graphs.npy,PseudoPositive,PseudoPositive,Positive,0.8544802083075047,59,0.1508076837549172
gcn_exp5,box1401,sdf_2-piezo-sdf_2-graphs-5A/unlabeled/box1401-filtered_graphs.npy,PseudoPositive,PseudoPositive,Positive,0.8208567065000534,59,0.1627611900584039
gnn_exp1,box1401,sdf_2-piezo-graph-5A/unlabeled/box1401-filtered_combined_matrix.npy,StrongPositive,StrongPositive,Positive,0.9588285124301912,59,0.0367983444656233
gnn_exp2,box1401,sdf_2-piezo-graph-5A/unlabeled/box1401-filtered_combined_matrix.npy,PseudoPositive,StrongPositive,Positive,0.8849479997158051,59,0.0988307495492335
gnn_exp3,box1401,sdf_2-piezo-graph-5A/unlabeled/box1401-filtered_combined_matrix.npy,PseudoPositive,StrongPositive,Positive,0.8901035177707672,59,0.0758643742890368
gnn_exp4,box1401,sdf_2-piezo-graph-5A/unlabeled/box1401-filtered_combined_matrix.npy,StrongPositive,StrongPositive,Positive,0.9769071924686432,59,0.0271931472605869
gnn_exp5,box1401,sdf_2-piezo-graph-5A/unlabeled/box1401-filtered_combined_matrix.npy,PseudoPositive,StrongPositive,Positive,0.9355359017848968,59,0.0532211150485739
gat_exp3,box1402,sdf_2-piezo-sdf_2-graphs-5A/unlabeled/box1402-filtered_graphs.npy,PseudoPositive,PseudoPositive,Positive,0.8449730432033539,60,0.0744684972928405
gnn_exp4,box1402,sdf_2-piezo-graph-5A/unlabeled/box1402-filtered_combined_matrix.npy,PseudoPositive,PseudoPositive,Positive,0.7633269765973091,60,0.1651692977045433
cnn_exp1,box1416,sdf_2-piezo-grids/unlabeled/box1416-filtered_grid_0.npy,PseudoPositive,PseudoPositive,Positive,0.998789919614792,24,
cnn_exp2,box1416,sdf_2-piezo-grids/unlabeled/box1416-filtered_grid_0.npy,PseudoPositive,PseudoPositive,Positive,0.9983530712127684,24,
cnn_exp3,box1416,sdf_2-piezo-grids/unlabeled/box1416-filtered_grid_0.npy,PseudoPositive,PseudoPositive,Positive,0.998900808095932,24,
cnn_exp4,box1416,sdf_2-piezo-grids/unlabeled/box1416-filtered_grid_0.npy,PseudoPositive,PseudoPositive,Positive,0.99862513422966,24,
cnn_exp5,box1416,sdf_2-piezo-grids/unlabeled/box1416-filtered_grid_0.npy,PseudoPositive,PseudoPositive,Positive,0.99818084359169,24,
gat_exp1,box1416,sdf_2-piezo-sdf_2-graphs-5A/unlabeled/box1416-filtered_graphs.npy,PseudoPositive,StrongPositive,Positive,0.959474002122879,24,0.0497796096009788
gat_exp2,box1416,sdf_2-piezo-sdf_2-graphs-5A/unlabeled/box1416-filtered_graphs.npy,PseudoPositive,PseudoPositive,Positive,0.851364860534668,24,0.1447245066597722
gat_exp3,box1416,sdf_2-piezo-sdf_2-graphs-5A/unlabeled/box1416-filtered_graphs.npy,PseudoPositive,StrongPositive,Positive,0.9249160623550416,24,0.0913434279783278
gat_exp4,box1416,sdf_2-piezo-sdf_2-graphs-5A/unlabeled/box1416-filtered_graphs.npy,PseudoPositive,StrongPositive,Positive,0.9094010651111604,24,0.10172833493294
gat_exp5,box1416,sdf_2-piezo-sdf_2-graphs-5A/unlabeled/box1416-filtered_graphs.npy,PseudoPositive,StrongPositive,Positive,0.9325624132156372,24,0.0637241075414354
gcn_exp1,box1416,sdf_2-piezo-sdf_2-graphs-5A/unlabeled/box1416-filtered_graphs.npy,PseudoPositive,PseudoPositive,Positive,0.8422652921080589,24,0.2312476980289484
gcn_exp3,box1416,sdf_2-piezo-sdf_2-graphs-5A/unlabeled/box1416-filtered_graphs.npy,PseudoPositive,PseudoPositive,Positive,0.8540091103315354,24,0.2073934080109251
gcn_exp4,box1416,sdf_2-piezo-sdf_2-graphs-5A/unlabeled/box1416-filtered_graphs.npy,PseudoPositive,PseudoPositive,Positive,0.817319508343935,24,0.2562080737829519
gnn_exp1,box1416,sdf_2-piezo-graph-5A/unlabeled/box1416-filtered_combined_matrix.npy,PseudoPositive,StrongPositive,Positive,0.9297207045555116,24,0.0548544542197623
gnn_exp2,box1416,sdf_2-piezo-graph-5A/unlabeled/box1416-filtered_combined_matrix.npy,PseudoPositive,StrongPositive,Positive,0.9231449961662292,24,0.0629283422949283
gnn_exp3,box1416,sdf_2-piezo-graph-5A/unlabeled/box1416-filtered_combined_matrix.npy,StrongPositive,StrongPositive,Positive,0.9676327693462372,24,0.0256851287327072
gnn_exp4,box1416,sdf_2-piezo-graph-5A/unlabeled/box1416-filtered_combined_matrix.npy,StrongPositive,StrongPositive,Positive,0.9845662915706634,24,0.0130549796972695
gnn_exp5,box1416,sdf_2-piezo-graph-5A/unlabeled/box1416-filtered_combined_matrix.npy,StrongPositive,StrongPositive,Positive,0.9479605674743652,24,0.0478529747631636
gnn_exp1,box1653,sdf_2-piezo-graph-5A/unlabeled/box1653-filtered_combined_matrix.npy,StrongPositive,StrongPositive,Positive,0.980626096725464,47,0.0194891702984561
gnn_exp2,box1653,sdf_2-piezo-graph-5A/unlabeled/box1653-filtered_combined_matrix.npy,PseudoPositive,StrongPositive,Positive,0.932762416601181,47,0.0532876018400143
gnn_exp3,box1653,sdf_2-piezo-graph-5A/unlabeled/box1653-filtered_combined_matrix.npy,StrongPositive,StrongPositive,Positive,0.9749024593830108,47,0.0213969055632926
gnn_exp4,box1653,sdf_2-piezo-graph-5A/unlabeled/box1653-filtered_combined_matrix.npy,StrongPositive,StrongPositive,Positive,0.9755705499649048,47,0.0258061536780968
gnn_exp5,box1653,sdf_2-piezo-graph-5A/unlabeled/box1653-filtered_combined_matrix.npy,StrongPositive,StrongPositive,Positive,0.9507681584358216,47,0.0499036920763348
gnn_exp1,box1668,sdf_2-piezo-graph-5A/unlabeled/box1668-filtered_combined_matrix.npy,PseudoPositive,StrongPositive,Positive,0.8375253981351852,52,0.1201770361346091
gnn_exp2,box1668,sdf_2-piezo-graph-5A/unlabeled/box1668-filtered_combined_matrix.npy,PseudoPositive,PseudoPositive,Positive,0.8457643067836762,52,0.0937089064938137
gnn_exp3,box1668,sdf_2-piezo-graph-5A/unlabeled/box1668-filtered_combined_matrix.npy,PseudoPositive,StrongPositive,Positive,0.9418929767608644,52,0.0456226783497843
gnn_exp4,box1668,sdf_2-piezo-graph-5A/unlabeled/box1668-filtered_combined_matrix.npy,PseudoPositive,StrongPositive,Positive,0.942504495382309,52,0.0452180033778967
