source,canonical_id,original_id,percentile_label,average_score,score_std,number_atoms
gnn_exp3,box3408,sdf_2-piezo-graph-5A/unlabeled/box3408-filtered_combined_matrix.npy,StrongPositive,0.8556101131439209,0.1439810675976283,55
gnn_exp1,box3409,sdf_2-piezo-graph-5A/unlabeled/box3409-filtered_combined_matrix.npy,StrongPositive,0.9275254952907562,0.0612422148534371,46
gnn_exp1,box3418,sdf_2-piezo-graph-5A/unlabeled/box3418-filtered_combined_matrix.npy,StrongPositive,0.8395708847045898,0.1159403487452104,23
gnn_exp1,box3422,sdf_2-piezo-graph-5A/unlabeled/box3422-filtered_combined_matrix.npy,StrongPositive,0.9642739689350128,0.045108879764684,55
gnn_exp1,box3424,sdf_2-piezo-graph-5A/unlabeled/box3424-filtered_combined_matrix.npy,StrongPositive,0.9011644065380096,0.0702674330898254,54
gnn_exp3,box3431,sdf_2-piezo-graph-5A/unlabeled/box3431-filtered_combined_matrix.npy,StrongPositive,0.8812907350063324,0.0910438073910284,42
gnn_exp4,box3433,sdf_2-piezo-graph-5A/unlabeled/box3433-filtered_combined_matrix.npy,StrongPositive,0.8839227592945099,0.1273502573088825,43
gnn_exp4,box3434,sdf_2-piezo-graph-5A/unlabeled/box3434-filtered_combined_matrix.npy,StrongPositive,0.9066472363471983,0.0722843528093755,37
gnn_exp3,box3446,sdf_2-piezo-graph-5A/unlabeled/box3446-filtered_combined_matrix.npy,StrongPositive,0.9027408719062804,0.0864955004391332,31
gnn_exp2,box3448,sdf_2-piezo-graph-5A/unlabeled/box3448-filtered_combined_matrix.npy,StrongPositive,0.8877821922302246,0.0877409052564817,55
gnn_exp3,box3449,sdf_2-piezo-graph-5A/unlabeled/box3449-filtered_combined_matrix.npy,StrongPositive,0.9015131402015686,0.0926952571983206,38
gnn_exp3,box3462,sdf_2-piezo-graph-5A/unlabeled/box3462-filtered_combined_matrix.npy,StrongPositive,0.9030422681570052,0.1176160872142636,45
gnn_exp4,box3467,sdf_2-piezo-graph-5A/unlabeled/box3467-filtered_combined_matrix.npy,StrongPositive,0.8978980302810669,0.0842126940470992,50
gnn_exp3,box3473,sdf_2-piezo-graph-5A/unlabeled/box3473-filtered_combined_matrix.npy,StrongPositive,0.9501297056674958,0.0379386538786796,54
gnn_exp4,box3475,sdf_2-piezo-graph-5A/unlabeled/box3475-filtered_combined_matrix.npy,StrongPositive,0.8721829199790955,0.114798878687565,50
gnn_exp3,box3487,sdf_2-piezo-graph-5A/unlabeled/box3487-filtered_combined_matrix.npy,StrongPositive,0.9292230689525603,0.0707010723143902,29
gnn_exp1,box3493,sdf_2-piezo-graph-5A/unlabeled/box3493-filtered_combined_matrix.npy,StrongPositive,0.9327513313293456,0.0462366466348091,44
gnn_exp1,box3499,sdf_2-piezo-graph-5A/unlabeled/box3499-filtered_combined_matrix.npy,StrongPositive,0.8728868889808655,0.0794635700836677,53
gnn_exp1,box3636,sdf_2-piezo-graph-5A/unlabeled/box3636-filtered_combined_matrix.npy,StrongPositive,0.9250029289722442,0.0490428569681544,50
gnn_exp3,box3640,sdf_2-piezo-graph-5A/unlabeled/box3640-filtered_combined_matrix.npy,StrongPositive,0.8489257228374482,0.1102686355126293,44
gnn_exp1,box3651,sdf_2-piezo-graph-5A/unlabeled/box3651-filtered_combined_matrix.npy,StrongPositive,0.943197193145752,0.0293160729478139,58
gnn_exp1,box3655,sdf_2-piezo-graph-5A/unlabeled/box3655-filtered_combined_matrix.npy,StrongPositive,0.8608606666326523,0.1059845050074749,41
gnn_exp1,box3681,sdf_2-piezo-graph-5A/unlabeled/box3681-filtered_combined_matrix.npy,StrongPositive,0.859335663318634,0.1106576272696026,54
gnn_exp4,box3738,sdf_2-piezo-graph-5A/unlabeled/box3738-filtered_combined_matrix.npy,StrongPositive,0.9002604103088379,0.0938499821478861,44
gnn_exp1,box3772,sdf_2-piezo-graph-5A/unlabeled/box3772-filtered_combined_matrix.npy,StrongPositive,0.8318348872661591,0.105925682754494,34
gnn_exp4,box3777,sdf_2-piezo-graph-5A/unlabeled/box3777-filtered_combined_matrix.npy,StrongPositive,0.9040256881713868,0.0653666089981662,45
gnn_exp1,box3787,sdf_2-piezo-graph-5A/unlabeled/box3787-filtered_combined_matrix.npy,StrongPositive,0.9597747802734377,0.0381596189284591,45
