model,filename,percentile_label,overlap,protein_id
Chol-GNN,../../../Data/SplitData/Cholesterol/cholesterol-graph-5A/Test/CombinedUnlabeled/6DRX-f1_combined_matrix.npy,StrongNegative,0.0,
Chol-GNN,../../../Data/SplitData/Cholesterol/cholesterol-graph-5A/Test/CombinedUnlabeled/6DRY-f3_combined_matrix.npy,StrongNegative,0.0,
Chol-GNN,../../../Data/SplitData/Cholesterol/cholesterol-graph-5A/Test/CombinedUnlabeled/6GT3-f2_combined_matrix.npy,StrongNegative,0.0,
Chol-GNN,../../../Data/SplitData/Cholesterol/cholesterol-graph-5A/Test/CombinedUnlabeled/6GYH-f2_combined_matrix.npy,StrongNegative,0.135,
Chol-GNN,../../../Data/SplitData/Cholesterol/cholesterol-graph-5A/Test/CombinedUnlabeled/6IBB-f5_combined_matrix.npy,StrongNegative,0.0,
Chol-GNN,../../../Data/SplitData/Cholesterol/cholesterol-graph-5A/Test/CombinedUnlabeled/6IDF-f5-positive_combined_matrix.npy,StrongNegative,0.257,
Chol-GNN,../../../Data/SplitData/Cholesterol/cholesterol-graph-5A/Test/CombinedUnlabeled/6IIV-f1_combined_matrix.npy,StrongNegative,0.079,
Chol-GNN,../../../Data/SplitData/Cholesterol/cholesterol-graph-5A/Test/CombinedUnlabeled/6IIV-f5-positive_combined_matrix.npy,PseudoNegative,0.355,
Chol-GNN,../../../Data/SplitData/Cholesterol/cholesterol-graph-5A/Test/CombinedUnlabeled/6JMQ-f4-positive_combined_matrix.npy,PseudoNegative,0.237,
Chol-GNN,../../../Data/SplitData/Cholesterol/cholesterol-graph-5A/Test/CombinedUnlabeled/6JXH-f1-positive_combined_matrix.npy,StrongPositive,0.2,
Chol-GNN,../../../Data/SplitData/Cholesterol/cholesterol-graph-5A/Test/CombinedUnlabeled/6JXH-f5_combined_matrix.npy,StrongNegative,0.0,
Chol-GNN,../../../Data/SplitData/Cholesterol/cholesterol-graph-5A/Test/CombinedUnlabeled/6JXI-f2-positive_combined_matrix.npy,StrongPositive,0.318,
Chol-GNN,../../../Data/SplitData/Cholesterol/cholesterol-graph-5A/Test/CombinedUnlabeled/6JXI-f4_combined_matrix.npy,PseudoNegative,0.0,
Chol-GNN,../../../Data/SplitData/Cholesterol/cholesterol-graph-5A/Test/CombinedUnlabeled/6JXJ-f4_combined_matrix.npy,StrongNegative,0.0,
Chol-GNN,../../../Data/SplitData/Cholesterol/cholesterol-graph-5A/Test/CombinedUnlabeled/6JZH-f2_combined_matrix.npy,StrongNegative,0.0,
Chol-GNN,../../../Data/SplitData/Cholesterol/cholesterol-graph-5A/Test/CombinedUnlabeled/6JZH-f3_combined_matrix.npy,StrongNegative,0.079,
Chol-GNN,../../../Data/SplitData/Cholesterol/cholesterol-graph-5A/Test/CombinedUnlabeled/6KUW-f1_combined_matrix.npy,StrongNegative,0.0,
Chol-GNN,../../../Data/SplitData/Cholesterol/cholesterol-graph-5A/Test/CombinedUnlabeled/6KUW-f5_combined_matrix.npy,StrongNegative,0.083,
